id,name,price,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_cap,last_updated
746,Vertcoin,0.5502066916417535,135681.53642131,-23.4958,0.04879633,-0.85794201,-8.14489154,11.53230665,15.92769601,-13.11901058,34548288.072435796,0.0013,46217362.1,2021-11-24T05:04:03.000Z
747,Chrono.tech,48.356495867927634,701807.64631645,31.2414,1.31467107,1.39188089,-1.36593783,5.3126288,69.96347526,154.72264491,34338527.99376583,0.0013,34338527.99,2021-11-24T05:03:17.000Z
748,ASTA,0.01904904109674842,7972360.11436566,20.5138,0.502327,1.68923215,6.42705519,2.40136782,-8.3095578,-25.015468,34288273.974147156,0.0013,57147123.29,2021-11-24T05:04:04.000Z
749,Monsta Infinite,2.2695472714674354,8159670.51094051,-0.9268,0.44005978,8.68379197,26.6656035,-16.51571525,53.36324141,-15.21179535,33649766.259544134,0.0013,612777763.3,2021-11-24T05:04:07.000Z
750,Observer,0.008315761484239131,4795312.18518537,81.0314,1.07528989,2.13384682,4.94747637,16.771206,22.8822909,5.7494462,33725199.45405762,0.0013,116420660.78,2021-11-24T05:03:27.000Z
751,Grin,0.37225830303036267,2881119.06755565,-20.1066,-0.61447487,-7.2699453,-6.26691319,-17.74413348,20.52998763,8.66042196,33423755.234703537,0.0013,33423755.23,2021-11-24T05:03:30.000Z
752,Defina Finance,7.622840252643059,10641170.3776064,-3.3143,2.52444301,23.90434793,61.81308073,99.0650083,401.91685226,401.91685226,33222624.673094247,0.0013,762284025.26,2021-11-24T05:03:37.000Z
753,SparkPoint,0.003991764704023253,483298.3382879,-40.8481,0.66103244,-0.4273517,-14.94874161,-19.8967502,7.93670453,-17.78131265,33023506.565361965,0.0013,54512361.74,2021-11-24T05:03:34.000Z
754,Cindicator,0.01644711571674957,671209.96532323,105.4948,0.37551767,-3.59118437,2.84800272,-5.23028734,16.41787166,0.81898477,32894231.509270053,0.0013,32894231.51,2021-11-24T05:03:36.000Z
755,CumRocket,0.02488616279934597,515452.13123054,10.2719,-7.88816377,-9.64793249,-15.99235039,-47.8293639,-1.33640055,-48.27668753,32860393.85318437,0.0013,248861627.99,2021-11-24T05:02:10.000Z
756,Soda Coin,0.018589782918836874,6164353.85335328,91.1792,1.153715,14.52433688,32.88384105,-22.51819053,-16.00008734,-80.03408812,32783583.811833892,0.0013,37179565.84,2021-11-24T05:04:02.000Z
757,Wall Street Games,1.0585771257408933e-07,2782576.44219557,27.1746,-0.32918213,8.04584312,-10.24113541,21.01028747,208.84583392,27.94577159,32784764.401243772,0.0013,105857712.57,2021-11-24T05:03:34.000Z
758,DXdao,663.6063603987978,62970.16677964,-64.6283,0.24108528,-1.86205757,3.87785347,12.38473998,31.5443744,44.11523502,32729065.69486871,0.0013,98862084.75,2021-11-24T05:04:06.000Z
759,TE-FOOD,0.05738361778247456,252115.80147655,-45.2274,0.54821869,-1.38069891,7.45916743,52.12240543,112.09864241,63.3495347,32635422.608602036,0.0013,57383617.78,2021-11-24T05:04:06.000Z
760,Darma Cash,0.14882907918308452,0.0,-100.0,0.00493681,-60.98056238,-57.81208459,-55.82435969,-56.49780462,-66.93583455,32123474.87680979,0.0013,68461376.42,2021-11-24T05:04:06.000Z
